,pmid,start,end,tag,text,source,correct,error_type,annotator
0,58651,26,42,Group Characteristic,renal transplant,model,y,,ccurtis
1,58651,144,149,Drug Intervention,HAHTG,human,y,,ccurtis
2,58651,165,175,Non-Study Drug,prednisone,human,y,wrong label,ccurtis
3,58651,180,192,Non-Study Drug,azathioprine,human,y,wrong label,ccurtis
4,58651,194,200,Drug Intervention,lmuran,model,n,wrong label,ccurtis
5,58651,323,328,Drug Intervention,HAHTG,human,y,,ccurtis
6,58651,350,363,Intervention Administration,intravenously,model,y,,ccurtis
7,58651,404,408,Sample Size,four,human,n,wrong label,ccurtis
8,58651,428,460,Outcome (Study Endpoint),died of infectious complications,model,n,too much,ccurtis
9,58651,436,460,Outcome (Study Endpoint),infectious complications,human,y,,ccurtis
10,58651,492,497,Sample Size,three,human,n,wrong label,ccurtis
11,58651,517,549,Outcome (Study Endpoint),died of infectious complications,model,n,,ccurtis
12,58651,587,601,Outcome (Study Endpoint),graft survival,model,n,too little,ccurtis
13,58651,587,614,Outcome (Study Endpoint),graft survival at 18 months,human,y,,ccurtis
14,58651,619,622,Quantitative Measurement,ten,model,y,wrong label,ccurtis
15,58651,636,643,Group Name,control,model,n,too little,ccurtis
16,58651,636,649,Group Name,control group,human,y,,ccurtis
17,58651,654,657,Quantitative Measurement,ten,model,y,wrong label,ccurtis
18,58651,671,678,Group Name,treated,model,n,too little,ccurtis
19,58651,671,684,Group Name,treated group,human,y,,ccurtis
20,58651,686,692,Statistical Significance,chi2 =,model,n,too little,ccurtis
21,58651,686,697,Statistical Significance,chi2 = 1.26,human,y,,ccurtis
22,58651,693,697,Quantitative Measurement,1.26,model,n,wrong label,ccurtis
23,58651,763,770,Group Name,control,model,n,too little,ccurtis
24,58651,763,776,Group Name,control group,human,y,,ccurtis
25,58651,794,801,Group Name,treated,model,n,too little,ccurtis
26,58651,794,807,Group Name,treated group,human,y,,ccurtis
27,58651,994,1001,Group Name,control,model,n,too little,ccurtis
28,58651,994,1007,Group Name,control group,human,y,,ccurtis
29,58651,1025,1032,Group Name,treated,model,n,too little,ccurtis
30,58651,1025,1038,Group Name,treated group,human,y,,ccurtis
31,58651,1200,1205,Drug Intervention,HAHTG,human,y,,ccurtis
32,527347,127,150,Disease/Condition of Interest,exercise-induced asthma,human,y,,eduvaris
33,527347,423,434,Group Name,Clenbuterol,human,n,wrong label,eduvaris
34,527347,466,467,Quantitative Measurement,7,human,y,,eduvaris
35,527347,500,501,Quantitative Measurement,1,human,y,,eduvaris
36,527347,523,524,Quantitative Measurement,1,human,y,,eduvaris
37,527347,534,544,Drug Intervention,Salbutamol,model,y,wrong label,eduvaris
38,527347,553,572,Outcome (Study Endpoint),complete protection,human,y,,eduvaris
39,527347,576,577,Quantitative Measurement,5,human,y,,eduvaris
40,527347,588,606,Outcome (Study Endpoint),partial protection,human,y,,eduvaris
